Date_time,T_ex,T_in,Power
1391723872,9,24.53334,0
1391724224,9,24.53334,0
1391724588,9,24.50198,0
1391724951,9,24.50198,0
1391725314,9,24.50198,4.955357143
1391725676,9,24.50198,5.044642857
1391726040,8,24.50198,4.821428571
1391726402,9,24.50198,5.044642857
1391726764,9,24.50198,6.696428571
1391727127,9,24.50198,6.830357143
1391727491,9,24.50198,7.410714286
1391727844,9,24.50198,7.366071429
1391728618,9,24.50198,7.96875
1391728981,9,24.50198,7.857142857
1391729344,8,24.50198,8.013392857
1391729706,8,24.50198,7.879464286
1391730069,8,24.40786,7.723214286
1391730433,8,24.40786,8.013392857
1391730794,8,24.40786,8.169642857
1391731156,8,24.40786,7.879464286
1391731520,8,24.40786,8.482142857
1391731883,8,24.40786,8.325892857
1391732236,8,24.40786,8.348214286
1391732601,8,24.40786,8.348214286
1391732963,8,24.40786,8.035714286
1391733325,8,24.40786,8.013392857
1391733688,8,24.40786,7.879464286
1391734051,8,24.40786,8.303571429
1391734414,8,24.40786,8.147321429
1391734775,8,24.40786,8.147321429
1391735140,8,24.40786,8.147321429
1391735502,8,24.40786,8.147321429
1391735855,8,24.40786,8.303571429
1391736630,8,24.40786,8.59375
1391736992,8,24.40786,8.727678571
1391737717,8,24.40786,8.571428571
1391738082,8,24.40786,8.28125
1391738444,8,24.40786,8.28125
1391738806,8,24.40786,8.549107143
1391739167,8,24.40786,8.415178571
1391739532,8,24.40786,8.415178571
1391739896,8,24.40786,8.258928571
1391740248,8,24.28236,8.392857143
1391740612,8,24.28236,8.973214286
1391740974,8,24.28236,8.995535714
1391741337,8,24.28236,8.816964286
1391741700,8,24.28236,9.241071429
1391742062,8,24.28236,8.973214286
1391742425,8,24.28236,8.660714286
1391742788,8,24.28236,9.21875
1391743151,8,24.28236,8.950892857
1391743514,8,24.18824,9.21875
1391743868,8,24.18824,8.638392857
1391744642,8,24.18824,8.638392857
1391745005,8,24.18824,9.330357143
1391745122,8,24.18824,9.196428571
1391745485,8,24.18824,9.196428571
1391745847,8,24.15688,8.928571429
1391746209,8,24.15688,36.69642857
1391746572,8,24.15688,36.80803571
1391746935,8,24.15688,35.22321429
1391747297,8,24.15688,33.23660714
1391747660,8,24.15688,33.30357143
1391748014,8,24.15688,32.29910714
1391748377,8,24.15688,31.71875
1391748740,8,24.15688,31.33928571
1391749103,8,24.18824,30.53571429
1391749465,8,24.18824,30.22321429
1391749828,8,24.18824,30.02232143
1391750190,8,24.21962,30.49107143
1391750553,8,24.21962,30.87053571
1391750916,8,24.21962,30
1391751278,8,24.21962,30.37946429
1391751387,8,24.21962,29.46428571
1391751750,8,24.28236,29.50892857
1391752113,8,23.74902,28.99553571
1391752652,8,23.34118,28.88392857
1391753016,8,23.37254,28.61607143
1391753378,8,23.4039,24.70982143
1391753740,8,23.4039,22.20982143
1391754103,8,23.4039,21.62946429
1391754465,8,23.4039,21.98660714
1391754828,8,23.46666,21.54017857
1391755190,8,23.46666,20.87053571
1391755555,8,23.46666,20.64732143
1391755917,8,23.46666,20.3125
1391756271,8,23.46666,19.82142857
1391756633,8,23.46666,19.53125
1391756996,8,23.46666,19.41964286
1391757359,8,23.37256,19.15178571
1391757722,8,23.37256,20.24553571
1391758085,8,23.4353,20.71428571
1391758447,8,23.05882,21.51785714
1391758809,8,23.05882,22.58928571
1391759173,8,23.05882,22.74553571
1391759536,8,22.99608,22.54464286
1391759890,8,22.99608,22.83482143
1391760664,8,22.9647,22.83482143
1391761026,8,22.9647,22.03125
1391761388,8,23.05882,21.58482143
1391761752,8,23.09018,21.78571429
1391762114,8,23.09018,23.90625
1391762476,8,23.21568,23.66071429
1391762840,8,23.24706,23.72767857
1391763202,7,23.24706,25.91517857
1391763566,7,23.27844,25.625
1391763929,7,23.27844,24.21875
1391764282,7,23.27844,24.70982143
1391764644,7,23.37254,23.90625
1391765007,7,23.37254,23.23660714
1391765372,7,23.37254,23.48214286
1391765733,7,23.37254,23.28125
1391766096,7,23.37254,23.92857143
1391766459,7,23.37254,24.08482143
1391766822,7,23.40392,23.4375
1391767183,7,23.46668,23.30357143
1391767547,7,23.46668,23.19196429
1391767901,7,23.46668,23.72767857
1391768675,7,23.46668,23.77232143
1391769037,7,23.49806,23.63839286
1391769400,7,23.49806,23.75
1391769764,7,23.49806,24.44196429
1391770126,7,23.52944,25.02232143
1391770489,7,23.5608,25.11160714
1391770852,7,23.5608,24.55357143
1391771213,7,23.5294,25.13392857
1391771577,7,23.56076,24.75446429
1391771940,7,23.56076,24.44196429
1391772292,7,23.56076,24.50892857
1391772657,7,23.59214,23.41517857
1391773020,7,23.59214,23.66071429
1391773383,7,23.59214,23.30357143
1391773744,7,23.62352,23.28125
1391774107,7,23.62352,23.03571429
1391774471,7,23.68626,22.61160714
1391774832,7,23.68626,21.91964286
1391775196,7,23.68626,23.08035714
1391775559,7,23.68626,23.99553571
1391775912,7,23.749,23.61607143
1391776687,7,23.78038,22.8125
1391777050,7,23.78038,21.875
1391777413,7,23.78038,22.41071429
1391777776,7,23.78038,23.08035714
1391778138,7,23.78038,26.13839286
1391778501,7,23.78038,25.95982143
1391778864,7,23.78038,25.53571429
1391779227,7,23.78038,26.54017857
1391779589,7,23.78038,25.98214286
1391779952,7,23.78038,25.78125
1391780305,7,23.749,25.33482143
1391780667,7,23.749,24.93303571
1391781032,7,23.78038,24.86607143
1391781394,7,23.78038,25.15625
1391781756,7,23.78038,24.79910714
1391782120,7,23.78038,24.55357143
1391782483,7,23.78038,24.21875
1391782844,7,23.78038,23.95089286
1391783208,7,23.78038,24.21875
1391783571,7,23.78038,24.19642857
1391783925,7,23.84314,24.375
1391784700,7,23.8745,24.88839286
1391785063,7,23.8745,24.53125
1391785424,7,23.8745,24.39732143
1391785788,7,23.8745,24.82142857
1391786151,7,23.84312,25.24553571
1391786514,7,23.84312,25.58035714
1391786877,7,23.81176,24.30803571
1391787239,7,23.81176,24.53125
1391787601,7,23.74902,24.28571429
1391787965,7,23.7804,24.26339286
1391788318,7,23.81178,23.81696429
1391788682,7,23.81178,23.83928571
1391789045,7,23.7804,23.48214286
1391789407,7,23.7804,23.4375
1391789770,7,23.7804,23.41517857
1391790133,7,23.81178,23.72767857
1391790496,7,23.84314,23.92857143
1391790857,7,23.96862,23.79464286
1391791221,7,23.96862,23.28125
1391791584,7,24,23.28125
1391791939,7,24,23.10267857
1391792713,7,24,22.96875
1391793076,7,24.03138,23.34821429
1391793438,7,24.03138,23.23660714
1391793800,7,24.03138,23.39285714
1391794164,7,24.03138,22.87946429
1391794527,7,24.03138,23.66071429
1391794889,7,24.03138,23.32589286
1391795251,7,24.03138,23.66071429
1391795614,7,24.03138,23.14732143
1391795978,7,24,23.63839286
1391796331,7,24,23.81696429
1391796695,7,24,23.97321429
1391797058,7,23.96864,23.68303571
1391797421,7,23.93728,23.59375
1391797783,7,23.93728,23.48214286
1391798146,7,23.93728,23.28125
1391798509,7,23.93728,23.25892857
1391798870,7,23.93728,23.39285714
1391799234,7,23.93728,23.59375
1391799597,7,23.96864,23.66071429
1391799952,7,23.96864,23.70535714
1391800725,7,23.96864,23.81696429
1391801088,7,23.96864,23.83928571
1391801451,7,23.96864,24.0625
1391801814,7,23.96864,23.90625
1391802177,7,23.96864,23.77232143
1391803626,7,24,24.26339286
1391805065,7,24,24.01785714
1391805429,7,24,24.01785714
1391805792,7,24,23.95089286
1391806154,7,24,24.12946429
1391806516,7,24,24.24107143
1391806879,7,24,24.28571429
1391807243,7,24,0
1391807605,7,24,0
1391807959,7,24,0
1391808076,7,24,0
1391808736,7,23.93726,0
1391809100,7,23.87452,0
1391809463,7,23.74904,0
1391810188,7,23.74904,0
1391810551,7,23.49804,0
1391810913,7,23.49804,0.089285714
1391811275,7,23.49804,4.977678571
1391811640,7,23.37252,7.299107143
1391812002,7,23.37252,7.299107143
1391812355,7,23.37252,9.84375
1391812719,7,23.24704,9.709821429
1391813081,7,23.21568,10.04464286
1391813444,7,23.21568,9.910714286
1391813806,6,23.15296,10.49107143
1391814170,6,23.15296,10.91517857
1391814532,6,23.15296,10.75892857
1391814894,6,22.99608,10.89285714
1391815257,6,22.9647,10.89285714
1391815621,6,22.9647,11.00446429
1391815973,6,22.93332,10.71428571
1391816749,6,22.93332,10.69196429
1391817112,6,22.90194,10.26785714
1391817475,6,22.87058,10.84821429
1391817837,6,22.87058,10.66964286
1391818199,6,22.68238,10.66964286
1391818563,6,22.68238,10.82589286
1391818926,6,22.68238,10.66964286
1391819287,6,22.68238,11.09375
1391819651,6,22.68238,11.20535714
1391820013,6,22.68238,11.65178571
1391820366,6,22.58826,11.49553571
1391820731,6,22.5255,12.14285714
1391821093,6,22.5255,12.14285714
1391821456,6,22.49412,11.96428571
1391821819,6,22.49412,12.23214286
1391822180,6,22.49412,11.80803571
1391822544,6,22.46274,11.62946429
1391822905,6,22.46274,11.36160714
1391823270,6,22.46274,11.20535714
1391823631,6,22.36862,10.91517857
1391823987,6,22.30588,11.47321429
1391824759,6,22.2745,11.60714286
1391825122,6,22.2745,11.71875
1391825485,6,22.2745,12.25446429
1391825848,6,22.24314,12.12053571
1391826211,6,22.24314,12.09821429
1391826574,6,22.24314,11.65178571
1391827299,6,22.21176,11.51785714
1391827662,6,22.14902,11.51785714
1391828024,6,22.14902,12.45535714
1391828389,6,22.14902,12.29910714
1391828751,6,22.14902,12.29910714
1391829114,6,22.14902,12.70089286
1391829476,6,22.14902,11.85267857
1391829837,6,22.14902,11.85267857
1391830201,6,22.14902,12.09821429
1391830565,6,22.14902,12.20982143
1391830912,6,22.14902,11.94196429
1391831282,6,22.14902,12.34375
1391831645,6,22.14902,13.39285714
1391832008,5,22.14902,12.43303571
1391832369,5,22.14902,37.8125
1391832733,5,22.14902,35.11160714
1391833095,5,22.14902,34.28571429
1391833456,5,22.14902,34.21875
1391833821,5,22.14902,33.25892857
1391834184,5,22.14902,32.67857143
1391834536,5,22.14902,32.41071429
1391835311,5,22.14902,31.42857143
1391835674,5,22.24314,31.85267857
1391836037,5,22.24314,31.22767857
1391836400,5,22.24314,32.34375
1391836763,5,22.24314,32.56696429
1391837126,5,22.24314,32.20982143
1391837488,5,22.24314,31.45089286
1391837849,5,22.24314,31.36160714
1391838213,5,22.4,30.84821429
1391838577,5,22.4,31.00446429
1391838930,5,22.68238,30.29017857
1391839293,5,22.68238,29.73214286
1391839656,5,22.7765,30.24553571
1391840019,5,22.80786,29.53125
1391840381,5,22.80786,29.64285714
1391840744,5,22.8706,30.20089286
1391841107,5,22.90198,29.6875
1391841469,5,22.90198,29.30803571
1391841831,5,22.90198,29.41964286
1391842196,5,22.9647,28.77232143
1391842548,5,22.9647,29.19642857
1391843323,5,23.02744,28.90625
1391843685,5,23.02744,29.46428571
1391844048,5,23.05882,28.81696429
1391844411,5,23.24706,28.99553571
1391844774,5,23.24706,28.90625
1391845138,5,23.24706,28.70535714
1391845500,5,23.3098,29.44196429
1391845862,5,23.3098,29.59821429
1391846224,5,23.37256,28.81696429
1391846588,6,23.40394,28.41517857
1391846941,6,23.40394,28.14732143
1391847305,6,23.40394,27.47767857
1391847669,6,23.40394,27.23214286
1391848031,6,23.40394,27.94642857
1391848392,6,23.46668,28.34821429
1391848756,6,23.49804,28.41517857
1391849120,6,23.49804,28.45982143
1391849482,6,23.5294,28.37053571
1391849845,6,23.56078,28.57142857
1391850208,6,23.56078,28.28125
1391850561,6,23.56078,27.25446429
1391851336,6,23.62352,27.52232143
1391851699,6,23.62352,28.01339286
1391852060,6,23.6549,27.85714286
1391852423,6,23.6549,28.08035714
1391852786,6,23.71766,28.59375
1391853149,6,23.74902,28.88392857
1391853512,6,23.74902,28.99553571
1391853873,6,23.74902,29.26339286
1391854238,6,23.78038,29.375
1391854600,7,23.78038,27.76785714
1391854952,6,23.84314,28.4375
1391855317,6,23.84314,28.86160714
1391855681,6,23.84314,28.86160714
1391856043,6,23.8745,29.04017857
1391856405,6,23.90588,28.03571429
1391856768,7,23.93726,27.79017857
1391857131,7,23.93726,28.37053571
1391857493,7,23.93726,28.68303571
1391857857,7,23.93726,28.50446429
1391858219,7,23.96862,27.58928571
1391858572,7,24,28.01339286
1391859347,7,24.03138,26.85267857
1391859711,7,24.03138,25.44642857
